,COUNTRY,COUNTRY CODE,ISO CODES,POPULATION,AREA KM2,GDP $USD
0,Afghanistan,93,AF / AFG,29121286,647500,20.65 Billion
1,Albania,355,AL / ALB,2986952,28748,12.8 Billion
2,Algeria,213,DZ / DZA,34586184,2381740,215.7 Billion
3,American Samoa,1-684,AS / ASM,57881,199,462.2 Million
4,Andorra,376,AD / AND,84000,468,4.8 Billion
5,Angola,244,AO / AGO,13068161,1246700,124 Billion
6,Anguilla,1-264,AI / AIA,13254,102,175.4 Million
7,Antarctica,672,AQ / ATA,0,14000000,
8,Antigua and Barbuda,1-268,AG / ATG,86754,443,1.22 Billion
9,Argentina,54,AR / ARG,41343201,2766890,484.6 Billion
10,Armenia,374,AM / ARM,2968000,29800,10.44 Billion
11,Aruba,297,AW / ABW,71566,193,2.516 Billion
12,Australia,61,AU / AUS,21515754,7686850,1.488 Trillion
13,Austria,43,AT / AUT,8205000,83858,417.9 Billion
14,Azerbaijan,994,AZ / AZE,8303512,86600,76.01 Billion
15,Bahamas,1-242,BS / BHS,301790,13940,8.373 Billion
