,Shortname,ShortPlace,Place,Year,Short,Represent
0,BLZ,Belize,Belize,Belize,BZ,Belize dollar
1,BEN,Benin,Benin,Republic of Benin,BJ,West African CFA franc
2,BMU,Bermuda,Bermuda,The Bermudas,BM,Bermuda dollar
3,BTN,Bhutan,Bhutan,Kingdom of Bhutan,BT,Bhutanese ngultrum
4,BOL,Bolivia,Bolivia,Plurinational State of Bolivia,BO,Bolivian Boliviano
5,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,Bosnia and Herzegovina convertible mark
6,BWA,Botswana,Botswana,Republic of Botswana,BW,Botswana pula
7,BRA,Brazil,Brazil,Federative Republic of Brazil,BR,Brazilian real
8,BRN,Brunei,Brunei Darussalam,Brunei Darussalam,BN,Brunei dollar
9,BGR,Bulgaria,Bulgaria,Republic of Bulgaria,BG,Bulgarian lev
10,BFA,Burkina Faso,Burkina Faso,Burkina Faso,BF,West African CFA franc
11,BDI,Burundi,Burundi,Republic of Burundi,BI,Burundi franc
